model,auroc_id_vs_oos,id_mean_conf,oos_mean_conf,n_id,n_oos,method,note
bow_logistic,0.9211,0.7539,0.2153,4500,1000,max softmax probability (Hendrycks & Gimpel 2017),"score=MSP; label 1=in-domain, 0=OOS. Not a claim about dummy OOS accuracy."
distilbert,0.9472,0.6571,0.2037,4500,1000,max softmax probability (Hendrycks & Gimpel 2017),"score=MSP; label 1=in-domain, 0=OOS. Not a claim about dummy OOS accuracy."
